v4_0,mmm_yy,time,uk_only,geography,cpih1dim1aggid,aggregate,time_parsed
118.4,Jan-26,Jan-26,K02000001,United Kingdom,CP055,05.5 Tools and equipment for house and garden,
132.5,Jan-26,Jan-26,K02000001,United Kingdom,CP061,"06.1 Medical products, appliances and equipment",
131.0,Jan-26,Jan-26,K02000001,United Kingdom,CP092,09.2 Other major durables for recreation and culture,
124.5,Jan-26,Jan-26,K02000001,United Kingdom,CP093,"09.3 Other recreational items, gardens and pets",
160.0,Jan-26,Jan-26,K02000001,United Kingdom,CP096,09.6 Package holidays,
149.2,Jan-26,Jan-26,K02000001,United Kingdom,CP112,11.2 Accommodation services,
101.9,Jan-26,Jan-26,K02000001,United Kingdom,CP1232,12.3.2 Other personal effects,
146.1,Jan-26,Jan-26,K02000001,United Kingdom,CP0114,"01.1.4 Milk, cheese and eggs",
106.8,Jan-26,Jan-26,K02000001,United Kingdom,CP054,"05.4 Glassware, tableware and household utensils",
149.9,Jan-26,Jan-26,K02000001,United Kingdom,CP0122,"01.2.2 Mineral waters, soft drinks and juices",
201.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0451,04.5.1 Electricity,
141.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0562,05.6.2 Domestic services and household services,
154.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0622,06.2.2 Dental services,
122.0,Jan-26,Jan-26,K02000001,United Kingdom,CP0722,07.2.2 Fuels and lubricants,
197.5,Jan-26,Jan-26,K02000001,United Kingdom,CP022,02.2 Tobacco,
134.6,Jan-26,Jan-26,K02000001,United Kingdom,CP0511,05.1.1 Furniture and furnishings,
111.6,Jan-26,Jan-26,K02000001,United Kingdom,CP052,05.2 Household textiles,
123.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0533,05.3.3 Repair of household appliances,
131.1,Jan-26,Jan-26,K02000001,United Kingdom,CP0621_0623,06.2.1/3 Medical services and paramedical services,
77.1,Jan-26,Jan-26,K02000001,United Kingdom,CP0911,09.1.1 Reception and reproduction of sound and pictures,
139.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0611,06.1.1 Pharmaceutical products,
150.2,Jan-26,Jan-26,K02000001,United Kingdom,CP073,07.3 Transport services,
128.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0933,"09.3.3 Gardens, plants and flowers",
136.7,Jan-26,Jan-26,K02000001,United Kingdom,CP07,07 Transport,
152.7,Jan-26,Jan-26,K02000001,United Kingdom,CP10,10 Education,
148.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0941,09.4.1 Recreational and sporting services,
143.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0721,07.2.1 Spare parts and accessories,
142.1,Jan-26,Jan-26,K02000001,United Kingdom,CP08,08 Communication,
140.5,Jan-26,Jan-26,K02000001,United Kingdom,CP082_083,08.2/3 Telephone and telefax equipment,
151.3,Jan-26,Jan-26,K02000001,United Kingdom,CP111,11.1 Catering services,
131.3,Jan-26,Jan-26,K02000001,United Kingdom,CP1231,"12.3.1 Jewellery, clocks and watches",
